core,TD,BD,age,CO2,d18O,dD,CH4,TAC
ALHIC2201,0.710538287,,,,,,584.0749856991857,
ALHIC2201,3.0487313432835825,,,,,,668.6478209411805,
ALHIC2201,3.061855378281009,,,,,,650.8896217538442,
ALHIC2201,3.074979413278436,,,,,,639.9840400062983,
ALHIC2201,3.0881034482758625,,,,,,637.3591001259354,
ALHIC2201,3.101227483273289,,,,,,637.2624770219426,
ALHIC2201,3.114351518270716,,,,,,644.7236618518065,
ALHIC2201,3.1274755532681424,,,,,,658.0741851100411,
ALHIC2201,3.140599588265569,,,,,,677.1802447147019,
ALHIC2201,3.153723623262996,,,,,,692.1933613831873,
ALHIC2201,3.1668476582604224,,,,,,704.4307634368165,
ALHIC2201,3.179971693257849,,,,,,710.9028064643861,
ALHIC2201,3.193095728255276,,,,,,711.9528894,
ALHIC2201,3.2062197632527023,,,,,,714.8096847363445,
ALHIC2201,3.219343798250129,,,,,,710.0109433764715,
ALHIC2201,3.87890032,,,,,,691.5497643606947,
ALHIC2201,3.8935322359396434,,,,,,699.2777521629199,
ALHIC2201,3.908164151806128,,,,,,702.3370519187513,
ALHIC2201,3.922796067672611,,,,,,698.6204836,
ALHIC2201,3.937427983539095,,,,,,687.1858784350866,
ALHIC2201,3.9520598994055782,,,,,,674.4581714620134,
ALHIC2201,3.9666918152720623,,,,,,664.1024590434246,
ALHIC2201,3.9813237311385454,,,,,,653.7211977778079,
ALHIC2201,3.995955647,,,,,,640.8282660006194,
ALHIC2201,4.010587562871514,,,,,,630.7042327900515,
ALHIC2201,4.025219478737998,,,,,,616.5719448830672,
ALHIC2201,4.039851394604481,,,,,,606.5219730012781,
ALHIC2201,4.054483310470965,,,,,,597.5699577490166,
ALHIC2201,4.069115226337449,,,,,,587.1674994958065,
ALHIC2201,4.083747142203933,,,,,,578.1527675873382,
ALHIC2201,4.0983790580704165,,,,,,566.5227312844966,
ALHIC2201,4.113010974,,,,,,555.4451185440872,
ALHIC2201,4.127642889803384,,,,,,546.2372227532169,
ALHIC2201,4.142274805669868,,,,,,535.9352674831574,
ALHIC2201,4.156906721536352,,,,,,528.0253551020969,
ALHIC2201,4.171538637402835,,,,,,519.2988500470351,
ALHIC2201,4.200979274611398,,,,,,508.2590705856796,
ALHIC2201,4.214968911917098,,,,,,499.4960735062044,
ALHIC2201,4.2289585492227975,,,,,,488.2628917131291,
ALHIC2201,4.242948186528497,,,,,,482.4977001,
ALHIC2201,4.256937823834196,,,,,,476.3215344945709,
ALHIC2201,4.270927461139896,,,,,,471.1105930155436,
ALHIC2201,4.284917098445595,,,,,,468.08358028096256,
ALHIC2201,4.298906735751294,,,,,,468.9829544199101,
ALHIC2201,4.312896373056994,,,,,,473.3869663994638,
ALHIC2201,4.326886010362694,,,,,,479.9980290337031,
ALHIC2201,4.444237679895334,,,,,,495.13639097846175,
ALHIC2201,4.733446447507953,,,,,,642.9491164187164,
ALHIC2201,4.744581124,,,,,,624.3960881011882,
ALHIC2201,4.755715800636267,,,,,,616.2588354494641,
ALHIC2201,4.766850477200424,,,,,,615.1716680025992,
ALHIC2201,4.777985153764582,,,,,,619.9763129526989,
ALHIC2201,4.889410058027079,,,,,,617.8364616511042,
ALHIC2201,4.901660219213411,,,,,,619.2267685061088,
ALHIC2201,4.918197936814958,,,,,,605.3427895635643,
ALHIC2201,5.135088391278727,,,,,,604.1128625308531,
ALHIC2201,5.364938838,,,,,,635.4022645615519,
ALHIC2201,5.380229357798165,,,,,,615.0810427346051,
ALHIC2201,5.3955198776758415,,,,,,595.9014984,
ALHIC2201,5.410810397553517,,,,,,577.2235435535838,
ALHIC2201,5.426100917431193,,,,,,565.8413276582152,
ALHIC2201,5.4413914373088685,,,,,,564.6206456484593,
ALHIC2201,5.456681957186545,,,,,,560.3686279855863,
ALHIC2201,5.471972477,,,,,,558.8316492977675,
ALHIC2201,5.487262996941896,,,,,,558.3515589,
ALHIC2201,5.502553516819572,,,,,,553.8169961454475,
